Annotation,text
neither,TheFunnyVine Red Neck Ice Bucket Challenge  he must be from the SIP. redneck
neither,TheSportsDiva Adam Jones homers Yankees now lead .Guy is a monsta
neither,TomTimes Making weed brownies tonight goin slide me a batch relo
neither,TryHardSilva Quote this with a weezy verse I'm a diamond in the rough like a baby in the trash
neither,UTRagers COLT MCCOY WINS HookEm he's still trash
neither,WORSTRAPLYRlCSHow is this trash?
neither,WillyC urbie SingleBecause ill find a cute hoosier to date next year  Tgold connorbradley
neither,"Yankees Yankees and Red Sox are scoreless as we play in the nd inning.
THE BAMBINO IS WATCHING"
neither,"Yankees Alfredo Aceves in to relieve CCSabathia here in the th. Yankees he needs to go away , gas can "
neither,Yattabing Cavs trash.. Heat trash.. Smhpat gotta make trades
neither,Yummy Oreo ice cream cake 
neither,LoveCarolina My Lakers are going to be so trash this season I can't wait  
neither,Bino Looking at nip rings I can't wait until I can change mine   lmao
neither,BlackJesus lilaerii Happy new year  check yo clock Hun we got another hour lol..they just did the lil count down thing
neither,anallanusa  you're really cool you're good at basketball. And your a zebra  is this WillBallLife?
neither,butterobama I hate when I attempt to make the yellow light but the car infront of me stops at the light  I be wanting to fight
neither,coltscommunity Pacers nflcolts indystar CHUCKSTRONG GoldSwagger  thats awesome +Err hoosiers
neither,fatbellybella I know u didnt hit that jigga with my fav purse. .. solangeknowlesno chill 
neither,ghostriderJ Yankees will never have someone wear a single digit uniform again after this season Wow. Shows that is an epic organization
neither,hoppk WCCORosen Sick of all the trash talk and cocky attitudes. shutupandplay Refs have to take control when needed
neither,iCARLEYBBY DJZeeti twitpic a selfie with light colored eyes
neither,iSignMyOwnBoobs thats my fav paon Take Carewhole album trash
neither,iamkrause All I see in every IfTheyGunnedMeDown tweet... Dis be like da colored Brady Bunch
neither,jerseyzbest eagles fans dont except the fact that mcoy been trash this year and that everybody figured out that spread offense StopIt
neither,"lakeshow WCCORosen Too bad the optimism I have for the Royals, you don't have for the Twins Take those Roseie colored glasses off"
neither,notflappybird Tag a friend that sucks at flappy bird me
neither,nypost If you used the ObamaCare website you should definitely change your password  hahahahahah that's sad boon
neither,rihanna We raided Nicki's wig closet for the summer Bad gals just wanna have fun this bitch has the a nerve smh
neither,sorryimalex I'm only back cause I don't wanna see the boys lose to trash votesos
neither,sportspickle The fruit of the modern Yankees farm system. Joba the Nut.
neither,theellemac Essence Fest anyone? I'll be there on the main stage  stepping with Uncle Charlie
neither,trayngga Charlie Strong WILL have Texas back as a power better power of big  is anybody's now
neither,wassssupsarah Car hopping is a different world these ghetto guys tried asking for my number LOL did they have to be ghetto Tho ?
neither,"wizkhalifa On the east coast there's colored hair everywhere. 

This must be the sweetest wave ever. LayaFace"
neither,wwwobeB Oreo a stuntcome thru 
neither,yungtfti I feel sorry for anyone who paid for LIC because edc is trash music
neither,ztmm Traded in my nikes for a new mic.. I guess it's safe to say he sold soles for his new life ... bada$$
neither,There is a time amp a place  decaf coffee. Never amp in the trash. MommyMonday humor via JenerationPR amp theskimm
neither,amp thots are wearing Uggs BigBootyJudy ItsFallBecause negros are pulling out their Timbs
neither,ltltltwhen it's yellow outside
neither,lt nudes are trash
neither,'' good Jeter hero for Yankees in sendoff  via ESPNNewYork
neither,"'Eff it, let's go after the cripple You have to see Wendy Davis' new attack ad [video] "
neither,"'Forget to salute,' trash the other guy for the 'bad war' during Cairo II, sympathize w/ 'Pockistan,' gays hurting morale. Thanks King"
neither,"'Scandal' sex scene airs on ABC right after 'It's the Great Pumpkin, Charlie Brown,' making parents angry"
neither,Uturns on yellow NO ACEPTAR ESTE LUZ ROJO  Lights taking too long make me bilingual 
neither,con't Also provide colored stickers to place on the nametags so that members can indicate their preferred pronouns.
neither,via jacklayton Charlie Angus is sending Made in China Canadian flag pins back to Conservatives 
neither,Searches my yellow pages app for the nearest Jack In The Box
neither,after BO TheGodWriter iDocLyfe Bruh lol I retired after mw because everything was trash afterwards.
neither,"chops TweetsSweet does bird call, flaps hands"
neither,rubs hands like bird man
neither,squak squak squak squak Me bird shut up squak Alex that was an act of defiance  Alextalksback
neither,waits for Fanduel to hit me with the jig
neither,Can I help you? Maybe. You gotta card for Sorry that tranny died in your motel room now your wife knows. Heres an Applebees gift card?
neither,".AlyssSmithh KeveeeD Yes indeed Camels, ostriches and zebras Sept.  VCCamelRaces"
neither,.AussieGrit loves Austin  Webber such a boon for FIAWEC. HCOTA
neither,.CoryBooker is running around town delivering food to people. If he takes out the trash too he is the perfect boyfriend.
neither,.HoppyKercheval Could you just play  minutes of the Charlie Brown wah wah wah adult sound effect instead?
neither,.RashaanSalaami doesnt it always feel like we go into the season with offensive concepts that we inevitably trash and then we get good?
neither,.Straatvogels [street birds] Homeless People Twittering in Amsterdam via HuffPostImpact
neither,.agiesweet VedanteBreh TravelNevada Try visiting thewashoeclub at night for a real spook
neither,".dawnbazely Thank you, Dawn. I see our state bird graces your avatar..."
neither,.everSoTweetlyu Klain's real sole job is to dampen down the mushrooming bad PR and political fallout heading into Nov election.
neither,.harmonicab could be wearing a trash bag and she'd still be the stylish and coolest human I know
neither,.nathirhussein Al Qaeda's market share is dropping faster than Viacom amp Enron in the Jihadi stock market
neither," naeluckyass ILoveBigTracy Therealalonig no I'm not crossed eyed, I'm albino. Can't control that"
neither, You are a semievolved monkey that is desperately searching for validation and meaning in life. BBQd you'd be ok with mango salsa.
neither,slapahoe
neither," ParadoxicalMike . iDavey On average, . But I can be an  when need be. SinsOfMyFather On a scale of  how ghetto are u?"
neither, oz arizona's trash
neither, for the eggs sunny side nicca .. EastsideDame
neither, and  World Series Rematch Yankees Braves
neither,X  The yellow tower by GilbeClaes
neither, iubb games when im in bloomington btown how good is that? ncaa basketball college Indiana iu hoosiers
neither, adult human skulls found in trash
neither, talented drivers garrisonstudio I am really glad there haven't been any yellows. But why haven't there been any yellows??
neither, mins for natezoo n grecojoel to pick out a trash can  meijer....now do u guys understand why I took  shots before this trip
neither,"

moke up"
neither," bags of chips,  Rice Krispies,  seeds,  gummies, a pop tart, some crackers,  powerades, and a water yuhhh I'm good lol"
neither, A.M. and still awake YAY Time to chug coffee and red bull for the foreseeable future and hopefully not pass out behind the wheel
neither,SOS is trash
neither,am Whizzing crackers My cats got into the Ritzcrackers amp are now playing 'hockey' with them. Lol.crazycats
neither, species of birds reported in Chesterfield for the Great Backyard Bird Count. How many in your area? 
neither, species of birds reported in Chesterfield for the Great Backyard Bird Count. How many in your area? 
neither," feature car  of  yellow and black feature car. buck tag is on the radiator support. ,xx miles,?"
neither, percent of the trash we dump in the sea is missing. This is not a good thing 
neither," PeterDavidsonII At some point, we need to discuss how delicious the vegan brownie from busboysandpoets on u St. tastes"
neither,fdad hick yes
neither,"proFESSOR Charlie Sheen could coach better than Crusty Dusty. Yeah they hired Bryan Price, the pitching coach"
neither,xabaddea Hard to QA? Time is also a pain to mock out in unit tests...
neither,"Corinthians BlessJesus Yes,Felt..and touched the soles of the humanity with stains and impressions that only leaves its reflections."
neither,Corinthians BooksOfGodWidom Proverbs  I also will laugh at your calamity I will mock when your fear cometh
neither,Corinthians HolySpirit God still share HIS Secrets Amos  blessings Jesus
neither,Corinthians Jesus Genesis  Out of the ground the LORD God formed every beast of the field and every bird of the sky Initiating
neither,Oyster maybe not but you crow about obama and democrats so you are a mawbar....Might as well be a Republican.
neither,"SonofYahweh amp what we do with our foolish proud selves? Roll our eyes, pretend that we dont see, mock or laff at them, arrogant attitudes"
neither,usagrunt. I wonder what Charlie Brown would have to say about these days.
neither,ANow She looks like a plastic monkey doll
neither, reminds me of Oreos lmao
neither,ABC its time. amend th amendment it was written to protect newly freed ex slaves. Its lived its purpose. time to end anchor baby loophole
neither,ABcrispyyandy I laugh Oreos and lady gaga on a Sunday day
neither,ACMobbDeep madsbennett yeah I run over squirrels and coons
neither,AJ Just watched the Llewyn Davis doc. Warm fuzzies abound 
neither,ASourAppleTree Have heard hillbilly grousings that bugs much worse in the KV since MIC shut down.
neither,ALittleWicked that's not ghetto. That's sweet and a movie quote. Try again
neither,AbelsMasochist you're not ghetto tho. You can live in the hood and not be ghetto facts
neither,ActaBunniFooFoo I like my gross yellow heat lamps. Why?
neither,AdamBaldwin ChicoDelainky clams to be a comedy writer. untrue
neither,AdamSchein TheMayorMatt I may have just cried a tad illmissu shiner
neither,Adrianknowsu no ghetto names 
neither,"AjKFAN Big congrats to all I expect him to be blogging on rube chat in a few days Now get some sleep, you will need it"
neither,"AlexAllTimeLow JackAllTimeLow Please stay safe you guys I love you so much, I hoe to one day meet you guys happy Halloween "
neither,"AllieLexiLove I like them dark, light, Carmel, white, red, tan, yellow, blue, purple, green. It doesnt matter what color they are"
neither,AlludraAIE just remember to keep the skidark colored. It camouflages all that pan dimensional gore
neither,AmazinMixBeauti don't feel like reading right now I wanna give a sexy coolie girl some lyrics via text message 
neither,AmazinMixBeauti why? You wanna gimme a baby? You look coolie....it might could work lol
neither,AmeezysAngels I'm the trash
neither,AmosPOrr Congrats Amos 
neither,"AndrewTaran That's a nice color combo too, love the blue and yellow."
neither,Andyheybro the distant chugs at the end of Dried Up... remain to be some of the most perfectly heavy guitars ever recorded.
neither,"AngryWillHelms Genius, the politically correct term would be intellectually disabled. It's highly offensive to use the word retarded."
neither,Anotherpotheadd lucky monkey
neither,"AnthonyCumia cokelogic 
Hey Antony you speaks colored good"
neither,"AnthonyCumia Enjoy it,I'm happy for you,but I hate the Yankees,and yes the Sox did choke"
neither,AntsSNEweather Well you got to see pompom Pete
neither,ArcticFox everybody mocks Obama .Hes an embarrassment to the USA.
neither,AstrosCounty Jeff Luhnow is to blame for the Astros not blowing out the Red Sox and Yankees HC
neither,Auroramwj marylmcaffry BBAnimals It's a mutation. Genealogy is convoluted. Basically the zebra gene currieries are slaughtered=Extinction
neither,AustinBurge either way both schools are trash 
neither,AustinthaIntern Johnny football is trash man. Trash. Lol.
neither,AutyAut I miss you Eating as we speak I miss you red bone and that cooking 
neither,BNightengale FeinsandNYDN Time for Ranger scouts to head out and watch some Yankee prospects. rangers
