Annotation,text
hate,ReasonsWeCantBeTogether if u was talkin to my nig or smashed da homies
hate,RebelScience ......is using an ACTUAL WOMAN as a genetic engineering lab for all natural clones..... or something...... faggot rome
hate,"SlightlyAdjusted CapoToHeaven Alls niggers wanna do is fuck, tweet, and drink pineapple soda all day"
hate,SomethingIGetAlot Are you... asian black Hawaiian gay retarded drunk
hate,SouthCarolina is full of white trash
hate,ThingsIWillTeachMyChild how to play deez niggas n bitches dat be snakes
hate,TrayvonMartin referred to Zimmerman as a creepy ass cracker. Racist thug.
hate,TweetLikePontiacHolmes I do the Pontiac sprinkler...Nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga
hate,VinitaHegwood can get a job at the naacp. Or as The AG. I hear they like diversity and tolerance. As long as you aint a cracker tcot
hate,Virginia is full of white trash.
hate,WestVirginia is full of white trash.
hate,faggots are MERELY a scientific indicator that SOMETHING IS WRONGgt Do not celebrate as unique indiviuals for they are cancergt
hate,firefighter is a job for white trash
hate,milesthompson goauche wetback.
hate, BossmobbE Racist all month .. Fuck u honkey
hate, TheOnlyReed LMFAO Tone If you watching porn amp beating off amp yo homie text u amp it show his name in the banner youre a faggot
hate, fucc nicca yu pose to be pullin up
hate," i just said that BoyThatsARYAH My TL gotta chill with this pretty face challenge foolishness, yall hoes agg"
hate,kwagiheath Them st  Charlotte goon niccas gon Fkkk around and burn Bank Of America stadium down
hate, KingHov They recruited buku fags in here!...a warehouse is no place for them!
hate,"lbum de fotos gaywrites In the Making, a project by and for queer students at Harvard, highlights."
hate,AlexaDelsanter This is awkward u fag  wonder whos awesome tank that is 
hate,"BixxhMakeMeRich If u ask me, every bitch gayor bi"
hate,"Crowdifornia We agree... do you  FUCK YES, I DO! Send those illegal, wetbacks home!!!"
hate,DickFurari HELL YA THEY SHOULD MAKE MORE MALT LIQUOR ADS LIKE THIS.  Dis be heaven fo a colored man
hate,FreddieGibbs Tea bag a bitch. Pahahaha
hate,FunnyPicsDepot fucking white people bitch wut
hate,"GlitteredInPink West you like , you needs to..... You a hoe. . im (breaking) .suck my dick."
hate,MILFchronicles Dudes shaving without it being for an athletic purpose is gay af youre retarded.
hate,"MaxwellLarsen When you live this gay, you cant be afraid of two black dicks in your butt you fucking queer"
hate,MikeyPDaCav I love the song John Doe dope MirandaWigley edenbaby faggots
hate,MoffettMM Just got done with my last final and Im walkin around campus like I own this place queer.
hate,MyFishDied You dammn Weed potheads are annoying af on Twitter weed and pot are the same thing faggot
hate,NiHaoRocky Who is she DrTruth Yall hype that bread loaf chick up but Im a chill a dyke rapper
hate,NiggaImTatted Cowboys win games during the regular season but when they get to the playoffs that trash af lol hating ass nigga
hate,NoChillPaz White kids favorite activities . Calling people niggers on Xbox .fucking their pet . Shooting up their school.
hate,"SimplyHype kobebryant shut the fuck up, you fucking trash nigga, work on another ring."
hate,"TPThree WestSideFlee KekePalmer damn they got wifey 

Fall back nigga .. I dont share my hoes"
hate,BitchBUH Shoot that nigga and his shorty bitch  
hate,honeysays My phone charging backwards  retarded
hate,alicia You aint special niglet Vicefly When Im chilling wit Greg ppl walk up to me to ask me to take picshatin
hate,boojieque WebbMadeThis Lemme find out you niggaz letting bitches shit on yo faces  niggas is weirdos
hate,"dnumberbefore Vicefly dnumberbefore u a regular nig, u played out b lol ima b Ig famousthese days that counts for somethin"
hate,"iamkrause No need to thank me, killing niggers is its own reward. 

Dis my pal from our graduation when we was "
hate,kaylendenise I hate that bitch amp the fact that oomf likes her.. just no  retweeettt x.
hate,kittyhello ImYungJay  bitch ass nigga fuck you !  ltErr
hate,medaOriginBitch That one friend who you greet with an insult. MorbidMermaid EvanBecker niggers
hate,rocafella waymoflydenu If fleek in yo vocabulary you a faggot
hate,spannerhead VertrellCarter faggot Respect
hate,"thejanicexxx o u unfollowed me so i cant dm u, so ill say it here, youre a rude cunt lmao you can dm me"
hate,ttevy i want affection  but i also want to be left alone ... do you see the issue herefag
hate,waymoflydenu Why yall think its ok to be faggots and want us to be cool with them
hate,ampwhen they say him they mean dyke Ron wcw 
hate, Dont sleep on ma niggah CHood  CharleyHood 
hate, Happppppy Birthdayyyy  lol . Niggahs is really  in this bitch  .
hate," If this ugly ass niggah can be with her , I can too . Tf she with Chuu Baka for anyways this niggah look like a.."
hate, This niggah pharrell or whatever this niggah name is dont deserve shit for that white ass gay song .
hate,"Damn you, whitey! Youll get a kick out of the newest form of white privilege."
hate,goes to olive garden Turns into a cracker gIacier goes black friday shopping turns into a nigger
hate,",KiroGx me gusta typing like a retard to make the other person look dumber by pretending to agree with them bazinga"
hate,gtMaxinBetha HumbltonBanks ankle socks in general are for the faggots bro
hate,...aaaaaaaaand it begins. RileydaKafka Fucking niggers thats all Kentucky is and ever will be
hate,"...youre white, arent you rolls eyes DidntDoNuffin DreaaaLove RIP to my NIGGA Trayvon, a worthless spear chucker"
hate, beer queer
hate, hoes  dyke
hate," old hoes, a ponk, and a dyke outchea having girl talk"
hate, white men in pick up trucks screaming nigger and my coach got the nerve to get mad I missed the free throw 
hate," MO GovJayNixon let kill some crackers, kill their babies New Black Panthers hijack his Ferguson presser."
hate,proFESSOR I bet hes a Starbucks queer
hate,samanthaKay good enough fag
hate,AGreasyMonkey Huntermoore faggot
hate,AlfieHeydrich but I live in the South. Lot more here. My pop lives in Rhode Island. Hardly no niggers there.
hate,"Alicia So basically you like the background music, fag."
hate,AmericanWhiteHM I hate that nigger.
hate,"AmericanWhiteHM Those niggers disgust me. They should have dealt with  years ago, we wouldnt be having these problems now."
hate,AnUglyNigga this is retarded
hate,AndreBerto cant wait for more PEDS is that it Roid munching faggot
hate,AndrewJBurns TommyRussell homo ass crackers
hate,AnimeKing fight me  on  ur choice of game faggot see what happens
hate,Anony TurnToLive Tweenki they are wrong you are a nigger always causung mischief among ur own people
hate,"AnthonyCumia 
You be totally correct Anthony. Cant be livin round dem colored folk. Day be bringin down da hood and dem propery value"
hate,AntonioFrench The Youre going have  KILL crackers amp their babies New Black Panthers CredibilityShot FergusonRiot JusticeMikeBrown
hate,Arbogucci guys not supposed to get their ass sucked queer
hate,"Aryanliving Welcome to the movement. Anyone who gets even minor publicity is a queer, fed, or jew (well, according to the internet)."
hate,AtBlackface MrMooncricket UncleUnco BobbyBotsods FuckTheMallcops RacistNegro ape Fuck u broke ass racist
hate,AustinG I do not like talking to you faggot and I did but in a nicely way fag
hate,"AustinG answer my snapchat faggot 
butthurt"
hate,AyeFuckWoody coryburgess do i literally eat asshole for a living is that what i actually do faggot You seem a little confused..
hate,"BGALLY so ur faggot teammate BrandonPrust hits someone late like that and U say hes yapping and yelling, u guys def  in the room"
hate,BarackObama MarchForInnov send them damn beaners back where they belong n the US aint it
hate,BarbodFCB cblaze ODDBEAST cracker jack shut the fuck up
hate,BeyondTomcat youd like that wouldnt you fag
hate,Bidenshairplugs He looks like a fag and his time line is boring Zzzzzz
hate,BillionaireCrow Neelahrelates your whats wrong with the white race you fuckin coon slaying piece of poop please die alone
hate,BlackmanTide lmfao go to bed whitey 
hate,BloggerBoxing rianscalia pass the Fosters faggot
hate,BloggerBoxing yea....what did it do for Maidana It made him a greedy faggot loser. Atleast Broner is black...
hate,BossAce Soundsgoodbro BloggerBoxing yea u stupid faggot. Im not leaving till like pm. Want a ride
hate,BossMelle never followed him ignorant monkey
hate,BraxCity mariaobregong sophiafreeman  of a citizen. I said it for you maria you spic
hate,BreeOlson Gingerbeard your a nasty nigger whore
hate,Brenddan they said some bullshit. Damn niggers
hate,Brenddan wow!!! Are you comin back up here  they some bitch niggas
hate,BrianaRashae Id like to rape the bitch that posted that.
hate,"Brice Fuck you, faggot."
hate,Brizgotti These new nigga hipster hypebeasts love all these faggot ass bright colors and Nike keeps giving them what they want smh
hate,Buckmse letsargueboxing sand nigger ran over some Kidd
hate,Buckmse I dont like the sand nigger but its entertaining like  knockdowns
hate,Buckmse Joe Cortez is the ultimate faggot that fight proved it
hate,Buckmse all us beaners were pissed like robewhen the jew ref stopped it
hate,Buckmse true sand niggers amp bum Brits claim hes a ATG hall of fame legend smh
hate,CBSThisMorning charlierose racist NorahODonnell tx trash racist why wld u intvw MittRomney n ask racist questions itwas so disrespectful
hate,"CHARLESBARRKLEY hey Sir house nigger, uncle tom arent you from grand ole Mississippi, I rest my case!"
hate,Camposuli is a fag hesgay
hate,CarelessOne you styl gotta get dem tweets off my nig
hate,ChaleCarlo fuck outta here and go put some more trash ass ink on your faggot ass self pussy
hate,ChaleCarlo stay talking defending your fuckboy ass boyfriend or what go suck him off while youre at it faggot
hate,ChandailBailey SteeZeyFLOW HunturPls you need to accept the fact that youre both hipster faggots.
hate,"CharleeRedz your gay stfu, dumb monkey"
hate,ChaseBasford chase you God damn faggot 
hate,CheCha be gone my nigguh
hate,"Cheesus greyyygoose faaaaggggottttt, speaking with the blonde hair and confused, youre a hypocrite, cuz youre a faggot"
hate,Chink shut up chink.!!!
hate,"ChrisAnzueto JoshMackey you call someone a faggot and then say to kill themselves, you are a pathetic human being. A fucking disgrace."
hate,ChristianESEM you dont know what your talking about retarded faggot
hate,"Codysmith true! I miss yall man, yall are my brothers. Is mikey starting And what about the chink Lmfao"
hate,CrackerJhak Because youre a fag
hate,CsSalazar wetback 
hate,"DaRealAlexInLA WoodyAFC Rodriguez the nig is fun to watch got to admit, ebola boy can speak broken Spanish too lol"
hate,DangItsTiff you look like fucking shrek bitch
hate,DanielSizelove ConradMLG get on cunt
hate,DarienDaywalt bitch shut the fuck up goddam your a slut bitch whore nigga
hate,Darienbabyxoxo jk Id fuck a dog before I fuck you fish pussy
hate,DatBoyRayT because if you suppolesbians you have to suppofaggots theres no difference.
hate,DavetheBrave that hoe on some other shit bro and x better rn that a nigga high
hate,DeezNutsDoe Id hate feeling like a faggot too punk ass hoe
hate,DeezNutsDoe how about you wash my butthole out with your tongue you little faggot
hate,"DefendWallSt Whatever! Fuck all those assholes. Theyre niggers, they all look alike to me."
hate,"DefendWallSt those little ISIS faggots usually have bags over their heads anyway. 
Makes bullet placement interesting thru a scope."
hate,DerekKirchner torimills fags
hate,"DestroTheNoble nekolin purple amp pink....for the faggots who want to be protected...by the police, instead of BEARING ARMS if need be!"
hate,DevilFzyq DevilElyie TehDevilClan shut up fag
hate,DjChubbESwagg this like a retarded wutang clan
hate,DolanGang beans u beaner
hate,DolanGang you wouldnt know fag
hate,DonnerKay surlyrevenant An enraged   lb Mike Brown lethal weapon on legs.His hatred  the police amp whitey added fuel  his arsenal
hate,Drfreezeburnn DaithiDeNogla I just learned how many retards you can find when you search trending topics.
hate,Drfreezeburnn Thats not bias. Its an objective fact that Philly fans are cunts.
hate,EleyComeEleyGo caykelly movies dont matter as long as you do coon shit with coons youre a nigga!
hate,"EnglishBrit sounds like a good idea. But I want my word to be spread. Jews, niggers and commies alike."
hate,ErinTaylor BRios you both sure do You want to give a free pass to every border jumper in this country you two are whats wrong here
hate,EvanBecker TriggaPlease MorbidMermaid zooyorkinit ShayisdaBOMB Rainbowblake because shes a nigger
hate,EvanDMyers nineinchessoft you have a redneck attitude. The same people that think Benghazzi is real think Fox fake nws is real. Your one
hate,Fardousaa becuz no man should celebrate his bday at a drreams faggot
hate,FitLifeMike chanelisabeth hoe dont make me put up screenshots of your texts to me hoe
hate,Flow jus wanted to let yll know hope the hurricane kills your soca sunday trash LORDWILLIN
hate,FrankieJGrande ew queer white thirsty bitch
hate,FrankieJGrande fugly queer white trash
hate,FrankieJGrande omg gtfo white faggot
hate,FreddyAmazin ratchet looking nigger
hate,FreeAJay you understand you look like a real life dyke right Like you look like a WNBA dyke bro. A sports bra amp bball shorts wearing dyke
hate,"Fromtheshwa yes now get off twitter, you lame negros should have never learned how to use the Internet"
hate,FuckBoiRik hahahaha youza fuck wigger
hate,Fugazi leave you beaner retard
hate,Garner heyyyyyyyyyyy fag boy am I gonna watch you play
hate,"GeneTNBARockBox Says the old man ( I hope you can survive another  years, you silly Jigga boo monkey"
hate,GlitteredInPink hoe dont tweet me
hate,"GoDaddy Hope you guys do get attacked for supporting SOPA, bunch of dirty snake faggots."
hate,"Godlovesbiebs Go pray in a church or something fag, no one cares about your religious bullshit."
hate,"GodsmackMusic iTunesMusic iTunes That band is white trash, and only white trash would buy that album."
hate,GossipCop Julie tell them crybaby blacks to get someone blk. and dress them up white faced......niggers always whining!
hate,GrizzboAdams wyattnuckels haha ight nig calm yoself
hate,GrizzboAdams fucking block your white ass because you try to stashit like a fucking queer so fuck you NIGGA
hate,GrizzboAdams ight nigga haha fucking queer has to clear his schedule
hate,GrizzboAdams roid rage much faggot
hate,GutierrezAlf legit retard
hate,"HarveyLevinTMZ sly they want what I got, I want what they got, America.they got the word nigger, I want it to"
hate,HeauxmerSimpson Im jus tryna vaca away from the niggers bro.
hate,"HeilSidious Sion is a faggot. Very meh ganks pre and post his ganks are still pretty meh hes just a tank, nothing special imo Mao +"
hate,Herfarm SteveWorksYou TheDemocrats your low info redneck dumbasses vote for these corporate shills that idiots like you believe dummies
hate,Herfarm Move out of our country teabaggers!
hate,HollowDaDonLOM those god damn chinks. 
hate,Hovaa niggerfood niggerperson you are a nigger
hate,Hovaa ok wat ever u say whitey. u prolly never even seen shaft.
hate,Hovaa shut up lizard faggot nigger cunt
hate,Hovaa ya I know all the slang Im racist I h porch monkies
hate,HuffingtonPost if the faggots can have a page y cant theyfaggots offend me more than them
hate,"HuffingtonPost im American, dont give  shits about the beaners, ship them beaners back"
hate,HuffingtonPost y dont that bitch just shoot herself so sick of all those whores!
hate,Hunglikerobby that was so gay. And I was tanning bitch. Juvie made me white
hate,Huntermoore happy cuz I woke up white and not a nigger!
hate,Huntermoore nigger!!
hate,IDisDummies Can you speak one coherent sentence without sounding like a nig Seriously.
hate,IGGYAZALEA it was a joke you fugly bitch be happy uncle snoop even acknowledged your nasty ass lmao
hate,"IWantHisHeaOk u fat precious lookin ass bitch, u big fat back at the barnyard lookin ass bitch. I can fix my grammar but u still fat"
hate,IamShady thats not even a real word! Must have hit a blunt and started making up shit with your nigger ass lol
hate,Iemonaids done that spell check we know you meant fat liberal Dyke feminist Nazi bitches
hate,ImToBlame you a fatherless wallet carrying ass video game playing ass negro breh. You filth. No way you can afford to date a TwitterHoney.
hate,ImThirst randies are fags
hate,ImpactParasite just fuckin roasted this faggot
hate,InTheOvenJews SlaveCatcher marylene we should hang out ovenjew. Have a lot in common. People waste time on nigs. Jews r r problem.
hate,InfidelAlie that should read suck on my bacon encrusted middle finger Muslim twats
hate,ItsKeeshKapeesh yourself faggot buy a dictionary
hate,"ItsMander kfc
You can always gets da colored folk back in da cage wit da KFC"
hate,ItsYOURman nothin much cousin touching white trash wigger wannabe bitch boy dick sucking fucking gay bitch
hate,JGardenofEden KySportsRadio ryanlemond But...country music listeners really are hicks and alcoholics 
hate,JMC jetsgreen TBFAN and fuck you too ya little bitch you look like a Mexican sucking a cock in ur profile
hate,JOLTNG niger
hate,"JPantsdotcom ToddKincannon therealtony Im partial, faggot..homo...both fairly describes the same sick twisted Assholes out there."
hate,JRise GAnderson what do you want fag
hate,JRise LongLiveTylerD your a fag
hate,JRise shut up you stupid bitch
hate,JacobbBacker fag
hate,JacobbBacker you dont know shit about me faggot bitch
hate,JadeGreenleaf fag
hate,JaiBrooks faggot
hate,JaiBrooks not funny u faggot
hate,JaiBrooks ur brother looks so queer and ugly
hate,JasonMoriarty I remember his nephew Lucas crying and dan saying quit being such a pussy and grow a pair or something.  dans so funny.
hate,Jaytwofly GMUCKA good leave you stupid faggot
hate,"Jaytwofly huh, lol mad nigger is mad"
hate,JewelsAndDrugs ladygaga madonna lmao madonnas music sucks yeah youre fucking stupid if you think gaga is better. retard
hate,JimBoberson happy birthday faggot
hate,"JizzAtTheScene and how am I assume shit 
,hmm cuz u dont know what fuck u talking about crackers these days."
hate,JoeDouglas I guess blaspheme to your Allah is ok if your pos muzzie huh JewJitsuGrl efilnikcufecin Darknight
hate,JoeDouglas sit down and stfu raghead Darknight hajihuntingpat
hate,JoeyD sweet comeback u fuckin herb I dnt watch soccer but id still wax your bitch ass in it go swallow the red soxs kids ur from NYC fag
hate,"JuanYeeze damn took this dumb spic nearly  days to respond, wuz really good tho beaner"
hate,"JuanYeeze shut yo beaner ass up spic and hop your faggot ass back across the border little nigga, go listen to some pitbull"
hate,JungleFeverFren fuck u nigger
hate,KLSouth MissDidi is an evil hate whitey racist who thinks DelbeBelton deserved it. MaryForbes EnemiesofDonnaJ StephAnnAnson
hate,KamRenee ugly nigger
hate,"KeebitHalal LogansWarning gotta love it when the islamofascist cow tries to make a retoabout age, typical muzzie idiocy"
hate,"KenGTH nahh , whatever you are spook or spic, I still dont like you . Good day"
hate,KennyWright itsfrankybitch yoPapichulo so if your  and in high school you dont have your own house you fucking faggot
hate,KevinMcAdams Because Ians retarded
hate,"KingHov i got a dyke wit a child as whse mgr, and she jus hired another girlboy dis week...."
hate,KingAlbeCeto u pulled.that queer shit as spon as u put no homo lol
hate,"KuntaKayne I have never seen such ignorant, illiterate pieces of shit in my life. Bring in Natl Guard amp disperse this trash. bassemmasri"
hate,LLTRP fucking losers wetbacks SorryNotSorry
hate,Legionary JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.
hate,LeonBaptist idk you into mouthy spics on welfare with  kids and  baby daddys
hate,LeviPage I dont bend that way queer. Thanks for the offer its flattering.
hate,LexVan go back to nigeria faggot
hate,LilA  youre a coon
hate,"LobstrThinkTank Yeah! Me too. My people, the women, laff at the set apamen... they love the real niggas or niggers."
hate,"LokiHulibele mediacrooks AamAadmiParty They have mix, not all are retards. AAP is Maoists, terrorists,Congies and delusional Retards"
hate,Lovelesslovely Kwitchabichen hey aklve! Im taking out the black ghetto trash. Youre blocked nigger
hate,MakeAnothaHov T.o. was a faggot crybaby
hate,MarianCristinax you a fag b
hate,MarkHalperin WSJopinion BarackObama Anything to trash this black President!!
hate,MattHomeTeam  you know what you did you faggot. There are literally thousands of people that have you on their radar homo
hate,MattPetrie geta Life faggot
hate,MaxwellLarsen your a cunt
hate,McwilliamsBrett shut your legs hoe
hate,MenachemDreyfus NatlFascist waspnse Shit your ass and shabbat your moms pussy u Jew bastard. Ur times coming. Heil Hitler!
hate,MilesM shut up coon.
hate,MillerLite I dont follow you because everything about your company is white trash.
hate,Mimistheone You really seem to love Sandusky. Weirdo. Ur a creepy ass cracker!
hate,Mimistheone stop trolling me u creepy ass cracker!!!
hate,"MisplacedMomma 
She be what we say in da hood white trash"
hate,"MisplacedMomma 
Yall whitey gots to PAY fo da preparations"
hate,MonteaRollin kayysavage I wasnt serious bitch  bitch them niggas i named aint fuccing witcho ass  we all just making shit up 
hate,MorbidMermaid I swear to god nigger you better still hang with me before work. You got my hype
hate,MorbidMermaid do you work today niglet
hate,MrMooncricket AtBlackface UncleUnco BobbyBotsods FuckTheMallcops RacistNegro ugly gay nigga bitch fucking peace of shit
hate,MrMooncricket FuckTheMallcops AtBlackface UncleUnco BobbyBotsods RacistNegro yall is coons n uncle toms
hate,"MrMooncricket RacistNegro fuck you, stupid ass coward ass punk bitch faggot ass racist piece of shit. Punk. Bitch, aint worth my time!"
hate,MyNameShouldBe only one problem theres a no pussies allowed sorry kerrythekilla...
hate,NOTURBRO niccolxo lmao nigga shoulda said I would be balless bc dat cold bitch wont stop blowin meswaagg
hate,"NYRKelsMads DaniloNavarro Hey fag, I said this was your aunts. He said it was you."
hate,NatlFascist waspnse Jews and white race traitors have to be swept clean so the Aryan race can survive.
hate,Newser big fucking deal...cry baby niggers
hate,NienNunb what did you search Gay redneck episode  play
hate,NotoriousBM gezus Rodriguez your getting blocked faggot
hate,NyJusDntGAF just like a nig to come home when ever they want
hate,OGHARM moetzaduckydynamo look at this nigger ass nigger shit right here
hate,OVOtilUOverDose flossinlawson niggers
hate,OfficialSkai dont tell me what to do. fuck balls kike nigger cunt tits cocksucker chink spic piss bitch bastard pussy faggot.
hate,OfficialSkaiS kill yourself ugly ass monkey looking shit
hate,OleBoy meezy yes Im white washed because I dont go around repping my hood and saying a bunch of ignorant nig terms.
hate,Oskzilla fuck you fag!
hate,Oskzilla fuck you niggah you gay. Lol
hate,PablyAndrew it was Paul McCartney faggot
hate,"PatDollard Fuckin muzzie cunts, should all be deported, savages"
hate,PatriotsOrg Screw the ragheads.
hate,PaulMoon yuristalife justinmiculka you fuckin Yankees Ill be there in  months Ill meet you pussy
hate,PecanB ObeyMyRealness dryer then them bad ass eyes of your fag
hate,Popdogg back up faggot
hate,PrayForJack new york niggas quick to take off on a bitch in public boy lol!!!!!
hate,Princesslexii Fucking coon
hate,"ProperEtacet fuck your mother, faggot"
hate,Prophzilla I dont hate that he blew up from  like a hipster but I hate the faggots who say they love his music based off his worst +
hate,QUANT You retarded bruh lol
hate,QuiThePharaoh zApollo MildlyDarkSkin hes a lying faggot. he used inspect element to change the number of dollars in his account.
hate,RSBerto Dumb Haitian fake black faggots. Go to Haiti and neck yourself.
hate,RabehChararah lmaoo what a fag
hate,RedNationBlogga fuck those faggots
hate,ReiddH i agree my fellow cracker.
hate,RepGutierrez You are full of it! These so called children are not children. They are illegal border jumpers MS! gang members.
hate,RepulsiveTool And the only band that sucked worse live is those fags Guns amp Poses.
hate,"ReverendGrim TitsOfAnarchy 
I likes dat name. Dem sand niggers needs to know dare place in da pecker order"
hate,"RevolutionUK Jesus I would love to do that and more to those muzzie torturers, fucking animal savages"
hate,RichxInxFlavor Im not a fag. Gtfo
hate,RileyCooper so your a nigger fighter huh
hate,RniSwirvinn LilKevJ no ur wrong stupid nigger
hate,"Roscoedash lmao, soft ass nigga trying to act all tough, you a little bitch. Sit down and watch from the sidelines pussy."
hate,RunuldoRants faggot sack
hate,RylannWilliams whooooo Chelsey Fuck her lol. She juss a bitch
hate,SAMMIboyden bruh we can finally roll like rednecks ( ((drug dealers))
hate,SAMMIboyden well hes a cunt and he can suck my ass
hate,SMASEY youre such a faggot
hate,SNAKEHAID wsaleen rducppp Synnseer rebelgirl why ur profile a one armed nigger
hate,"STACCSWNTFOLD you tell me, coon."
hate,SRoach happy birthday nicca do coon shit in a responsible way.
hate,Sammytbh whats your youtube channel then faggot
hate,Sarakateee FaZeRain I wouldnt be proud that faze is in your family. Hes horrible for one and two hes ugly trailer trash... fazeisgay
hate,"SchulzGrayson Dswizzle oh woulda coulda shoulda ass niggas bitch ass nigga, what u bout oh ban wagging ass nigga catch your phase"
hate,ScoutingForFifa TheBurntChip JoelBurtFifa JPizzleFIFA EYE WITNESS Joel is a faggot
hate,SexWithSocksOn faggot
hate,ShawnIrwin okay closet fag
hate,Shmalec ya fag
hate,Shvkxir RickiRoma BaeSongz JayZOverrated Ahmed and retard mikey for special Olympic boxing
hate,SlimGirlProbz das calld usen yo brain retard y would i whoop yo ass n front of da police
hate,"SlothNG i can guarantee a few things youre white. youve never been anywhere NEAR a real ghetto. you, or a relative is a pig. %"
hate,"SoftestMuffin tee TorahBlaze Best believe We aint no christian slave brainwash black spooks miss white man, unlike yoself, she devil"
hate,"SoftestMuffin tee TorahBlaze at the end of the day, they call yo dumb ass monkey, pickananny hoe. But u luv them white devils"
hate,"SoftestMuffin tee TorahBlaze will convince u that is a lame, you, a nigger liver believes it cuz you a nigger whore"
hate,SoldiereaODGrn I dont give a flying fuck what a teabagger piece of human garbage like you thinks =)
hate,SoldiereaODGrn you are a teabagger scum who wants to threaten people with his penis extender. You are a danger to this country.
hate,"SophieRo if only there was a medal for that we hate fags, but we wont kill them medal. Thank u for the privilege to let fags live."
hate,"StanleyStinks Shame of you! Selfhating kike. 
We Jews are Gds chosen people."
hate,StarIsTheFuture you call GOPBlackChick house nigger and shes the racist Fathom the hypocrisy in that statement.
hate,"StarkFreeOrDie ...I fuckin want OUTgt Im tired of this bullshit faggot ass, closet racist, wannabecommunewithoutrailroad stategt Cali"
hate,StephyRae faggot.
hate,StephyRae is the biggest faggot in the world
hate,"Sterm RealJamesWoods Just like when I call someone a nigger! Its not because theyre black, its about how they act. LIKE A NIGGER!"
hate,SteveStockmanTX hes just a friggin idiot that can say anything and his redneck teabagger constituants buy it. They love stupid people
hate,Stevenratata bye youre a queer
hate,Stonisnipezz this is a joke right Youre on here like ugh I wish I was a jap and tweeting in gook and shit and jerkin to hentai.
hate,SweetKixx u see a lame in that pic ofmine due to your infatuation with niggers. Im Hebrew i fite the children of satan in the streets
hate,SydneeSmalling fuck Miley tranny looking now damn ass nigga
hate,THERACISTDOCTOR One less little nigger that would grow up into a big nigger.
hate,TannerHarris Ive been knowing fag
hate,Taylor faggot
hate,TheChicagoBaker stopbeingfamous RaniaKhalek do birds have a % out of wedlock rate is it white fathers that are running away
hate,TheErniie Youre a little bitch.
hate,"TheKushZombie Aww y u so mad tho, a successful man LMFAO, hut hugging as faggot."
hate,TheRealCVL and CoryHolmes are faggots. Kbye.
hate,"TheRealJRSmith And its people like you that give us all a bad name, you are a disgusting piece of shit of a person a nigger is what you are"
hate,TheRedSea shetheTRUTHtho say that shit to my face Bruh you a bitch for gettin in a man u dont know business. Handle yo own shit
hate,TherealGeorgeZ you are a pussy without your guns bitch as spic. Your daddy doesnt even respect the sperm he drop in your moms stank pussy
