Annotation,text
offensive,TaylorrBabee You aint ever gonna be a slice bitch. Kevin hart. 
offensive,ThatniggaTroy Oomf so fuckin fine tho  dam  her dont be no bitch.
offensive,TheGamerKingKev I wonder if the girl that gave head to  boys for a drink in magaluf has twitter she probly sends nudes for fags
offensive,TheNymphoTweets Hickies in between her thighs right by her pussy gtgtgt Its only right
offensive,TheOneMissLuu Would you still love me when Im no longer young and beautiful? No. Ugly monkey ass.
offensive,TheRealRickyB JetsAndASwisher Gook yall come through the front.bitch I aint coming
offensive,TheRealRickyB JetsAndASwisher faggot bitch t.co/HyyAbkeH
offensive,TheRealistSam Madrid yea Im on my iPad. I dont work this Friday. Lets ball this faggot up TropicalBlanketi work 
offensive,TheoMaxximus Chrus still supahot tho walks up to teacher with test drops test in that bitch fohead t.co/nbVgdssgI
offensive,Thornton KantKeepAhBYTCH I love eating pussy lol I never get full lol I can eat that shit forever lol and ever.
offensive,TmaccGFG VoiceOfDStreetz TmaccGFG tizzimarie No slushes hoes nasty anyway famthem hoes taste like meds
offensive,TmaccGFG tizzimarie No slushes hoes nasty anyway fam
offensive,TmaccGFG BOBBY BITCHby BobbyShmurdaGS be getting me live as fuck hell yea i play that hoe before my workout
offensive,TreLeKidd Yo bitch is Gucci Mane JabariTheGreat  My bitch a stoner  t.co/ltLIJjpg
offensive,TweetGameLazy I can ride your bitch with no handle bars
offensive,TyJonCuffee And if you aint a hoe get up out my traphoussseeeee
offensive,UnHolyJack These harbor bitches are all Party Bus hoes Lol all?
offensive,Vbomb Woodchuck pussy love it
offensive,VeronikaHumbeUltraviolence video its coming you little bitch MTVHottest Lana Del Rey bitchy promo
offensive,VineForTheByrd On my way to fuck your bitch MFAO KITTYCOPTER
offensive,WBeezy QuaTheGreat Aww their avis look so cute together  get Ike avi on this bitch ?
offensive,WBeezy RunDRC Its simple dont be a hoe=dont worry about being exposed  fight mewhy ?
offensive,WannabeKanye whys this bitch boosting herself Her size isnt exactly the most healthy tho
offensive,WitHaPrettyface nonlykeisha bet not be no bitches   Kim bye
offensive,XXPDOTJDOT Damn near gotta protect my tweets.. stalkers being annoying you got that dope dick. Drive these bitches loco
offensive,XoJennyGirl Im making marack my girlfriend . marackaf aye b you pullin hoes just like o taught you
offensive,XoXoAngiee Bruno fag boy you love me.
offensive,YEHitsVon RunDRC I must be a bitch you are  sike naw This why we always beefing 
offensive,YoungRicooo WexicanAfro Dont take advantage of a nice person hoes everyjuan
offensive,YoungRicooo Happy birthday bitch nigga WexicanAfro Thanks pal
offensive,YoungRicooo Sad knowing that most hoes wont fuck with you bc you aint got stacks. wait till friday
offensive,YunGMiGo ShaneA cinco shit harder fucc niggayee but you fucc wit rich homie cuz dats ya homeboy fucc nicca
offensive,ZoeBarton hrheyd ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs
offensive,BaDaBing I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back Strong Mush or Shake..
offensive,BeeDontCare My pussy still fresh lt something stank girls say.
offensive,GeeWillikers Ass slapping is one the greatest things. Haha.  I slapped a girl on the ass. . She got mad I aint get pussy for a week
offensive,TommyCollins WeAreRichnow buffalobills yeah Texans are so much better you fucking retard I see that youre mad about this.
offensive,MALIBUbarbie Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE ..looking like blackampmilds out here
offensive,Sugga Theres a lane some bitches need to stay in  the left n get right the fuck outta our face 
offensive,sneakyb I hate when boys deny that they have bitches  smh
offensive,taradise Ya nigs out there still saying yall dont eat butt? WITH A STRAIGHT FACE
offensive,youreWelcome Im a boss ass bitch ...that needs to sit in a corner
offensive,iwantfranny Hes a hoe  I cant
offensive,prettyflvck Me And Paul Thinkin Bout Gettin Rentals For Da Weekend oooh shit bitches betta stay out da streets
offensive,rapdreams bitches hold they nigga down when he get locked up... but if a nigga go to college or the military its a different story. 
offensive,simplycaitlin why do my friends hate me because you a ratchet hoe..
offensive,adriwadrri No love for these fuck niggas hoes
offensive,airmaxlad Hot meat t.co/BRzImkvK sexy as fuck scally lad. I would love to meet him and his trainers.
offensive,airmaxlad Sniff t.co/FHHbBRMYBN perved up scally lad. fuck yeah.
offensive,alejandrap These bitches love Sosa
offensive,alexissixela whitethunduh I legit watched it for about  or  seconds SO DID I WTF prob cause were retarded smh
offensive,allisonnamaya What should I name my cat ideas? Mr pussy
offensive,altosteel t.co/tMmhXG woof woof. Sexy thug boy scally.
offensive,ambitiousBree nonlykeisha u see the damn phone ringing?  when you married bitches makes demands You havent called me
offensive,analicialouise Tevin is my favorite sophomore I think hes so funny Hes really not. Lmaoo hes a little hoe
offensive,angelenagoley  sex positions this what u call fucking the soul outta bitch 
offensive,babineaux I dont got no type. Bad bitches is the only thing I like Iongotnotype
offensive,"bleedingtrap god teeth  gold chain
white bitches  cocaine"
offensive,cheetahBluntz Its me hoe its me hoe shhhhh
offensive,chieflottahoes In D.C. we call them rollers in Chiraq we call them thots. All across America they have been known as a hoe.
offensive,claytonjenn Im gonna miss that bitch of a bus driver...no you wont. Dont lie
offensive,coltfortyGone hate when bitches try and put you in the friendzone. bitch Im tryin to score put me in the endzone  ON. MY. SOUL
offensive,datFullerkid TreVaughnLG yall both gimped up?? Aint tht a bitch huh lol
offensive,demieggleton oh my god I love Victoria Mitchell all my bitches love me
offensive,djsliime That long distance shit wack I knew the bitch was cheating uh oh
offensive,fIirting HES DOING IT RIGHT   no bitches smh
offensive,fatboyswagg they BAN dat pussy for life amp he gotta pay . millon dollar fine
offensive,fuckcamoclark Roses are red and violets are blue and niggers are black you know thats true. dylan
offensive,glowstruck But a nigga gon be a nigga be a nigga. You sound fuckin retarded
offensive,"gurlImAngie ItsKiaraaaa WestYourMajesty Im not even shy stfu kikis mom Hi angelique 
Angelique Smiles Dips cracker in soup"
offensive,haitiangoLd Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville. Smh. 
offensive,hazelebaby Karma is a bitch Damn GodProtectsHisAngels sips tea
offensive,hornyjhb Fuckin hot gym pussy fuck yeah
offensive,iAMPickUpLines You can call me Fireman cause I turn the hoes on.
offensive,iCrawley I could never have a bby by a lil dick Thts y I got a abortion by the last bitch oh My God
offensive,iDntWearCondoms Watch women try to argue with me like they have a dick and actually fucked some pussy before I hate when bitches do that
offensive,iLGDaily And smoke weed in public fuck cops man do what you wanna do they dont own you run if they come are you retarded?
offensive,irlfatty my pussy sweet like watermelon Thotermelon
offensive,jSadass loud bitches annoy me
offensive,jacaxeltlu Eventually every bitch turns into that hoe.  Truuu
offensive,jaimescudi Tonybthrz jaimescudi I swear if oomf try talking to me tomorrow..  BarackObama pussy
offensive,jamajam You bitches be pretending to be TF crazy.. You aint never lied...
offensive,jasmyncyniquee whitethunduh k bye hoe um bye ..
offensive,jboii ima keep on giving these pussy ass niggas ah reason to hate 
offensive,juicyyyjayyyy Side bitch Sunday  
offensive,keazy Facts what baldheaded bitch made this shit. Lmao 
offensive,kayreneeee Fuck wit us and then we tweakin hoe shmurda
offensive,kikiSTFU Ill break that lil bitch neck and wont even feel sorry about it Savage
offensive,leikant This is so fucking hot scally sneakersex sockfetish sniff love me some kinky scallies
offensive,likemicah Yall dumb ass niggas be so pressed to have hoes. Yall weak as fuck as fuck ...weed over hoes oreos too.
offensive,lildurk I can turn yo bitch into a eaterrrrrrrrr
offensive,lildurk I dont trust dese hoes Nikki told st where I stay at all my fans screen shot ASAP we finna come to Chiraq and shoot sumn
offensive,marackaf whitethunduh Aye yall ima tryout for the bowling team frfr tryouts passed tho no theres two more retard
offensive,maybe Now u got what u want bitch  Enjoy it  now this is a crazy party I would love to attend.
offensive,michellewestt Facts POONsoaker Only the dudes with hoes say they dont got hoes JAustin
offensive,midyWIDEY Im rea stasmacking bitches period  Bluffin at its best
offensive,"molssyo Lifes a bitch and then you die 
Thats why we get high cause you neva know when youre gonna go my sister is perfect "
offensive,molssyo One of us is on drugs and its me but youre still wrong  currieburry hahahahahahah im a bitch sometimes 
offensive,morgandaylee Im feeling pretty fuckin ghetto Smh
offensive,obeyjrock This is a true ride or die bitch   what the fuck hahahahah
offensive,ortizjaylene All I see is Brunos bitch ass on my twitter now. wtf Brunos all that she sees Drake voice
offensive,ozziegarza whitethunduh Im about to cool faggot chill tf is cool nigga
offensive,ozziegarza whitethunduh Im so sure bitch frfr tf
offensive,poppunksucks Twitter is not a source of news broadcast you fucking retards it is when nbc abc cnn Fox etc are all keeping quiet.
offensive,queendulaaa Got a couple bitches saying they know me But Ima let the money talk for me  AND IM LIKE... WWYD
offensive,realFORTES Grudges are for weirdosand bitches
offensive,roLLYuP No text back? I dont give a fuck Ill text another bitch damn someone is hulol
offensive,ronaldiongi Ummmmmm okay  you got hoes from left to right  do yah thang
offensive,royalswagg using y=mxb to find the slope of that ass
offensive,rugbysocklad Hell yeah bro  fuck yeah sexy scally lad in hot gear
offensive,rugbysocklad Helping out a mate  I love scally play. Fuck yeah
offensive,rugbysocklad Lads being Lads  fuck yeah. I love scally lad action. Hot trainers too.
offensive,savagetwotone Next year bitches is gonna be like you gotta promise you wont expose me 
offensive,scallynikelad sleazytwinks So hot opcinjen Lick it bitch  fuck yeah. Eat that trainer u dirty fucker
offensive,sierrabernia TGCincoKilby Yall think celebrity pussy different from the locals?  yeah Meghan goods is
offensive,sniffsockslad Need these sox  fuck yeah. I love a kinky scally lad w/ rank sox and sneaks
offensive,snoleezey I dont ever expose females like that.. Thats childish.. bitch nigga shiiii.....
offensive,soxandjox Thick raw fuck t.co/gRvUHCeBN Damn his man pussy is getting a workout.
offensive,splurgb Nothin in life is free.. Some of you bitches need to write that on ya panties
offensive,stephencdo currieburry if one of you bitches want some of my burrito u can catch me at potosino huh? Haha
offensive,talibanshawtyy Niggas whole hoes out here cuz Couldnt had said it better..
offensive,thebravebird YoureNotMyType if my fade is perpetually fresher than yours. Thats a real ass bitch rite there
offensive,thejudyann annoying bitch that I love t.co/oxlQvQBrC JUDYANNS SO PRETTY
offensive,thotmouths Lmao bitch got on some huggies
offensive,trestiffer Hi bitch  bitch Bye bitch 
offensive,trutherbot does he look like a bitch? elcapacitor
offensive,whoiscoreyking Chase money  not  hoes  
offensive,whooligan cant stand a I dont know what I want ass nigga  bitch
offensive,wiganzlad MarkyCrumb gmailshorts Im on my way t.co/MqcZuXlbtT love a chavhot sexy scally fucker.
offensive,witmyRUDEass These newly gay bitches dont kno how shit works
offensive,witmyRUDEass When a bitch dont want a real job they just become strippers lol lol.
offensive,wodaeeex Awww Meat Meat In His Feelinsi ainn n my feelings bitch
offensive,wodaeeex I Want Snake Bites  MY Industrial Piercin amp A TattooDem hoe accessories dea 
offensive,worldwarzee these hoes aint loyal.
offensive,xoxoclauudia YASSSSSS ORDERED CHINESE  bitch you just ate tacos you fat fuck
offensive,zmbiedance I made that bitch lunch. elizabethbatman Bitches love lunch.
offensive,A NO BRAINER But as soon as this bitch gets rich in political power her views will change POLITICAL WHORES.
offensive,A pussy a day keeps the devil away DoperThanYola
offensive,Aint that about a bitch... What does that mean?
offensive,All these bitches want a baby I dont want no children.
offensive,And bitch you must be lost 
offensive,Baby I like being on your left side no bitch you cant be there Cuz the street on that side and Twitter said I aint real if you do
offensive,Batter the wee cunt Jewis y cos he fucked my ex? Emma isnt battering the girls Ive nailed?Ive moved onstop being a pussy n do it urself.
offensive,Bleed out hoe Alexa
offensive,Boolin in the bando wit a few bitches
offensive,But I need a bad bitch thats hotter than me might be the realist shit PartyNextDoor ever said. Thats how I be feelin everyday
offensive,By the way we do punch bitches.
offensive,Caesar is home Naewoodster MjaySkillz  so much this bitch looks like. Lets stawith ape shit
offensive,Dad say hi to my snapchat Dad  duces bitch 
offensive,Do you believe these hoes are not in fact loyal? I disagree with that I do believe they are in fact the loyalest bunchthese hoes
offensive,Dont know no ugly bitches Dont know no broke niggasKevinGates
offensive,Dont make me make you fall in live with a nigga like meee... The birds amp are my favorite songs by Weeknd
